,City,Country,Latitude,Longitude,Temp (F),Humidity (%),Clouds (%),Wind Speed (mph)
366,pacific grove,us,36.6177374,-121.9166215,56.62,89.0,1.0,8.99
367,san andres,co,12.5450153,-81.7075787,87.82,70.0,20.0,5.75
368,ciudad bolivar,ve,8.088279100000001,-63.5535552,82.96,71.0,95.0,6.73
369,drayton valley,ca,53.2214873,-114.9766642,31.06,67.0,100.0,3.33
370,sao pedro,br,27.4426561,-82.4562861,80.31,60.0,63.0,2.82
371,svetlyy,ru,54.6770382,20.1363729,57.25,49.0,65.0,13.49
372,douentza,ml,15.0045218,-2.9550619,98.17,25.0,40.0,4.07
373,porbandar,in,21.6416979,69.62930589999999,83.5,40.0,34.0,3.91
374,kieta,pg,-6.2204747,155.6376301,79.47,81.0,26.0,4.43
375,pangnirtung,ca,66.1465578,-65.7012182,30.49,94.0,100.0,2.57
376,anadyr,ru,64.7336613,177.4968265,-11.0,76.0,30.0,5.3
377,salinopolis,br,-0.6237602,-47.3457985,85.1,68.0,65.0,7.31
378,kargasok,ru,59.0535405,80.8770602,33.35,97.0,100.0,16.55
379,salym,ru,60.0612676,71.453642,22.77,88.0,100.0,14.23
380,barbar,sd,29.737064,-95.5069614,,,,
381,bonavista,ca,48.6533449,-53.11182489999999,42.12,77.0,100.0,16.44
382,semnan,ir,35.578797,53.37981079999999,58.87,33.0,100.0,0.94
383,jiangyou,cn,31.778022,104.745823,60.15,76.0,18.0,1.63
384,stepnoye,ru,51.5222254,-0.0491574,46.83,71.0,94.0,5.23
385,dabola,gn,10.7297806,-11.1107854,85.05,61.0,96.0,5.17
386,homer,us,40.453506,-75.819221,28.94,85.0,1.0,3.44
387,ndola,zm,-12.9906407,28.6498144,91.74,19.0,16.0,3.96
388,umm kaddadah,sd,13.60375,26.68413,93.22,10.0,7.0,8.55
389,armilla,es,37.1512306,-3.6167146,68.29,40.0,20.0,3.0
390,flin flon,ca,54.7657685,-101.8762147,34.11,74.0,100.0,4.47
391,longyearbyen,sj,78.22317220000001,15.6267229,24.64,68.0,75.0,11.5
392,hobyo,so,5.3515922,48.5249751,81.32,62.0,0.0,12.91
393,arona,es,40.2692366,-79.6614311,68.36,52.0,20.0,14.97
394,gwadar,pk,25.2460129,62.2861215,80.74,63.0,0.0,16.06
395,karaton,kz,51.0457811,3.7396666,80.33,91.0,92.0,2.26
396,saldanha,za,-33.0276981,17.9176312,65.71,73.0,0.0,9.93
397,gigmoto,ph,13.7912671,124.3532417,80.15,81.0,21.0,11.74
398,immokalee,us,26.4185248,-81.4174057,79.48,70.0,1.0,6.91
399,opuwo,na,-18.0580139,13.8361177,96.51,16.0,74.0,4.76
400,qasigiannguit,gl,68.8219742,-51.1817888,21.45,97.0,98.0,4.76
401,shubarshi,kz,48.5827715,57.1849343,40.41,76.0,100.0,7.29
402,chagda,ru,58.75177799999999,130.6163939,,,,
403,chara,ru,40.7749472,-72.9454639,13.05,61.0,0.0,2.8
404,escarcega,mx,18.6101834,-90.7390245,72.39,89.0,93.0,2.53
405,gorontalo,id,0.5435441999999999,123.0567693,76.21,94.0,96.0,2.53
406,rio grande,br,29.521204,-101.259159,74.95,66.0,5.0,17.11
407,itarema,br,-2.9242369,-39.9129274,90.54,47.0,84.0,10.51
408,patea,nz,-39.7572286,174.4752973,52.61,91.0,35.0,9.6
409,bosanska krupa,ba,44.8806524,16.153208,55.9,62.0,17.0,2.26
410,adrar,dz,28.0174403,-0.2642497,87.91,23.0,63.0,8.75
411,bara,sd,39.0216531,-94.6539009,97.14,15.0,99.0,7.38
412,broken hill,au,-31.9595859,141.4608138,56.48,44.0,0.0,13.47
413,corinth,us,37.9386365,22.9322383,65.41,54.0,46.0,10.2
414,pokhara,np,28.2095831,83.9855674,62.38,82.0,5.0,4.74
415,karamea,nz,-41.2508416,172.1283298,,,,
416,krasnoselkup,ru,65.69455599999999,82.525613,29.82,97.0,100.0,15.84
417,san fernando,mx,34.2819461,-118.4389719,82.15,78.0,1.0,7.61
418,ostrovnoy,ru,68.0603191,39.4740385,34.88,97.0,100.0,14.47
419,khonuu,ru,66.455612,143.2225799,,,,
420,maniitsoq,gl,65.4076761,-52.90057179999999,31.26,84.0,100.0,11.99
421,jutai,br,-2.7486492,-66.77277269999999,85.23,64.0,99.0,0.13
422,maua,ke,-23.666558,-46.4599145,65.25,92.0,98.0,3.83
423,alice springs,au,-23.698042,133.8807471,71.15,24.0,8.0,10.36
424,solovetskiy,ru,65.1,35.6969445,,,,
425,georgetown,sh,38.9076089,-77.07225849999999,82.0,86.0,40.0,0.0
426,praia da vitoria,pt,38.7339162,-27.0646976,74.75,87.0,100.0,14.9
427,sondershausen,de,51.3691898,10.8710502,58.39,52.0,49.0,3.04
428,port blair,in,11.6233774,92.7264828,81.9,80.0,49.0,7.31
429,muhororo,ug,-1.9427898,29.6281837,76.77,60.0,100.0,1.19
430,sabha,ly,27.0365406,14.4290236,80.47,25.0,100.0,8.75
431,polyarnyye zori,ru,67.3744013,32.4889456,36.48,99.0,100.0,7.16
432,mount isa,au,-20.7263687,139.4930159,74.97,78.0,76.0,5.75
433,kemijarvi,fi,66.7136282,27.4292063,37.38,95.0,100.0,7.81
434,maragogi,br,-9.0127139,-35.2213834,80.94,65.0,78.0,12.28
435,rayachoti,in,14.0586263,78.7519382,75.81,87.0,100.0,5.19
436,myanaung,mm,18.2707494,95.3207069,77.61,89.0,96.0,5.3
437,rosita,ni,38.3008944,-122.2867028,82.83,73.0,66.0,0.18
438,inirida,co,3.8702044,-67.92433609999999,81.46,74.0,75.0,2.37
439,santa fe,cu,35.6869752,-105.937799,84.61,38.0,18.0,4.0
440,strelna,ru,59.8490261,30.0343086,54.28,75.0,0.0,11.18
441,kahului,us,20.8893351,-156.4729469,70.47,88.0,1.0,4.61
442,malwan,in,16.0630693,73.471054,,,,
443,slave lake,ca,61.4517555,-115.087568,31.41,71.0,6.0,5.5
444,komsomolskiy,ru,55.7016171,57.13662919999999,50.72,62.0,80.0,4.61
445,nome,us,64.5011111,-165.4063889,24.87,64.0,90.0,17.27
446,jinchang,cn,38.520089,102.188043,47.34,31.0,50.0,0.87
447,fairlie,nz,41.8880166,-87.6826944,49.5,94.0,100.0,3.0
448,sept-iles,ca,50.21329679999999,-66.37579199999999,45.37,42.0,0.0,2.13
449,lolua,tv,-1.3805556,35.6358333,,,,
450,coquimbo,cl,-29.9590009,-71.3389183,56.93,88.0,90.0,10.36
451,nyurba,ru,63.2803099,118.3618985,10.2,85.0,32.0,6.85
452,praya,id,-8.6837074,116.2895173,84.74,61.0,20.0,19.57
453,roald,no,49.00370909999999,-123.065897,52.05,93.0,75.0,5.75
454,mahibadhoo,mv,3.756783299999999,72.9689398,83.23,73.0,100.0,9.31
455,turiacu,br,-1.6712987,-45.369341,83.37,75.0,83.0,5.46
456,jackson,us,32.9250297,-96.6784563,51.03,95.0,90.0,0.0
457,trzebiatow,pl,54.0611912,15.2647391,55.09,55.0,65.0,11.68
458,camopi,gf,3.1660209,-52.34138189999999,90.75,45.0,11.0,3.06
459,silva jardim,br,-22.6476159,-42.3956267,75.09,88.0,100.0,3.56
460,dakoro,ne,14.5089177,6.7654595,98.89,8.0,44.0,12.26
461,sungaipenuh,id,-2.0634335,101.3947481,66.45,97.0,100.0,1.59
462,pontypool,gb,44.1002714,-78.62753769999999,55.11,74.0,68.0,16.71
463,uzunovo,ru,54.5442039,38.6199751,46.02,72.0,100.0,12.59
464,verkhnevilyuysk,ru,63.44538369999999,120.3277282,11.3,87.0,100.0,7.58
465,qui nhon,vn,13.7829673,109.2196634,78.08,88.0,21.0,6.26
466,jeremie,ht,18.6389698,-74.1181234,83.12,64.0,11.0,2.15
467,dzhusaly,kz,45.4852437,64.08186119999999,,,,
468,togur,ru,58.3615767,82.8403008,33.62,80.0,100.0,14.99
469,takoradi,gh,4.9015794,-1.7830973,83.16,73.0,89.0,9.48
470,bandarbeyla,so,9.498579999999999,50.8105261,79.09,68.0,0.0,17.58
471,teya,ru,60.377472,92.651665,30.83,78.0,100.0,12.03
472,tigzirt,dz,36.8919195,4.129222,71.31,51.0,34.0,4.14
473,henderson,us,36.0395247,-114.9817213,59.09,43.0,1.0,0.0
474,qaqortoq,gl,60.71898640000001,-46.03534579999999,32.5,75.0,100.0,3.8
475,san patricio,mx,27.9544619,-97.77194190000002,64.11,29.0,0.0,12.39
476,luwuk,id,-0.938828,122.792801,78.46,88.0,100.0,1.39
477,rawson,ar,-43.2998581,-65.09948729999999,74.07,31.0,97.0,8.01
478,yabelo,et,4.8949753,38.1001629,69.48,50.0,100.0,8.12
479,banda aceh,id,5.5482904,95.3237559,80.49,83.0,100.0,10.45
480,golcuk,tr,40.7167517,29.8194875,,,,
481,pecos,us,35.5742031,-105.675016,41.32,41.0,1.0,4.61
482,acas,ro,34.7523762,-92.3869701,49.23,49.0,100.0,5.53
483,antsohihy,mg,-14.8851268,47.9960743,83.44,56.0,17.0,10.25
484,rapid valley,us,44.0624879,-103.1462899,49.53,61.0,7.0,8.01
485,yumen,cn,40.29184300000001,97.04567800000001,45.43,27.0,63.0,5.39
486,almaznyy,ru,62.44681509999999,114.3182712,55.54,57.0,9.0,6.85
487,sao filipe,cv,14.8951679,-24.4945636,80.08,71.0,100.0,10.38
488,kiruna,se,67.8557995,20.225282,27.52,86.0,47.0,1.14
489,belokurikha,ru,51.9948245,84.99355609999999,39.92,80.0,100.0,4.63
490,murray bridge,au,-35.1200511,139.2736963,49.39,74.0,15.0,5.75
491,kentau,kz,43.5161759,68.5090258,44.62,59.0,66.0,2.93
492,tres arroyos,ar,-38.3775437,-60.27522949999999,85.95,32.0,94.0,17.81
493,iberia,pe,29.988119,-91.8103644,60.22,48.0,1.0,13.8
494,saint-joseph,re,39.7674578,-94.84668099999999,71.58,80.0,90.0,11.07
495,goderich,sl,43.7428345,-81.7138942,51.3,85.0,100.0,20.42
496,havelock,us,34.8790492,-76.9013301,71.06,90.0,0.0,13.33
497,luorong,cn,40.8075355,-73.9625727,62.89,89.0,100.0,6.89
498,koupela,bf,12.180204,-0.3513021,97.14,27.0,92.0,7.43
499,toliary,mg,-23.3516191,43.6854936,,,,
